,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WSeed,LSeed,Round
0,1985,136,1116,63,1234,54,N,0,X09,X08,1
1,1985,136,1120,59,1345,58,N,0,Z11,Z06,1
2,1985,136,1207,68,1250,43,N,0,W01,W16,1
3,1985,136,1229,58,1425,55,N,0,Y09,Y08,1
4,1985,136,1242,49,1325,38,N,0,Z03,Z14,1
5,1985,136,1246,66,1449,58,N,0,X12,X05,1
6,1985,136,1256,78,1338,54,N,0,Y05,Y12,1
7,1985,136,1260,59,1233,58,N,0,W04,W13,1
8,1985,136,1314,76,1292,57,N,0,Z02,Z15,1
9,1985,136,1323,79,1333,70,N,0,Z07,Z10,1
10,1985,136,1326,75,1235,64,N,0,Y04,Y13,1
11,1985,136,1328,96,1299,83,N,0,Y01,Y16,1
12,1985,136,1374,85,1330,68,N,0,W05,W12,1
13,1985,136,1385,83,1380,59,N,0,X01,X16,1
14,1985,136,1396,60,1439,57,N,0,W08,W09,1
15,1985,136,1424,85,1361,80,N,0,X04,X13,1
16,1985,137,1104,50,1112,41,N,0,X07,X10,1
17,1985,137,1130,55,1403,53,N,0,Y11,Y06,1
18,1985,137,1181,75,1337,62,N,0,Y03,Y14,1
19,1985,137,1208,67,1455,59,N,0,W06,W11,1
20,1985,137,1210,65,1273,58,N,0,W02,W15,1
21,1985,137,1228,76,1318,57,N,0,W03,W14,1
22,1985,137,1268,69,1275,68,N,1,Z05,Z12,1
23,1985,137,1272,67,1335,55,N,0,Y02,Y15,1
24,1985,137,1276,59,1192,55,N,0,Z01,Z16,1
25,1985,137,1298,78,1261,55,N,0,Z13,Z04,1
26,1985,137,1301,65,1305,56,N,0,X03,X14,1
27,1985,137,1393,70,1177,65,N,0,W07,W10,1
28,1985,137,1412,70,1277,68,N,0,Y07,Y10,1
29,1985,137,1431,79,1409,75,N,0,X11,X06,1
30,1985,137,1433,81,1267,65,N,0,X02,X15,1
31,1985,137,1437,51,1173,49,N,0,Z08,Z09,1
32,1985,138,1120,66,1242,64,N,0,Z11,Z03,2
33,1985,138,1207,63,1396,46,N,0,W01,W08,2
34,1985,138,1246,64,1424,61,N,0,X12,X04,2
35,1985,138,1256,79,1326,67,N,0,Y05,Y04,2
36,1985,138,1260,70,1374,57,N,0,W04,W05,2
37,1985,138,1314,60,1323,58,N,0,Z02,Z07,2
38,1985,138,1328,75,1229,69,N,0,Y01,Y09,2
39,1985,138,1385,68,1116,65,N,0,X01,X09,2
40,1985,139,1104,63,1433,59,N,0,X07,X02,2
41,1985,139,1130,74,1181,73,N,0,Y11,Y03,2
42,1985,139,1210,70,1393,53,N,0,W02,W07,2
43,1985,139,1228,74,1208,58,N,0,W03,W06,2
44,1985,139,1268,64,1298,59,N,0,Z05,Z13,2
45,1985,139,1272,67,1412,66,N,1,Y02,Y07,2
46,1985,139,1301,86,1431,73,N,0,X03,X11,2
47,1985,139,1437,59,1276,55,N,0,Z08,Z01,2
48,1985,143,1207,65,1260,53,N,0,W01,W04,3
49,1985,143,1210,61,1228,53,N,0,W02,W03,3
50,1985,143,1272,59,1130,57,N,0,Y02,Y11,3
51,1985,143,1328,86,1256,84,N,1,Y01,Y05,3
52,1985,144,1301,61,1104,55,N,0,X03,X07,3
53,1985,144,1314,62,1120,56,N,0,Z02,Z11,3
54,1985,144,1385,86,1246,70,N,0,X01,X12,3
55,1985,144,1437,46,1268,43,N,0,Z08,Z05,3
56,1985,145,1207,60,1210,54,N,0,W01,W02,4
57,1985,145,1272,63,1328,61,N,0,Y02,Y01,4
58,1985,146,1385,69,1301,60,N,0,X01,X03,4
59,1985,146,1437,56,1314,44,N,0,Z08,Z02,4
60,1985,152,1207,77,1385,59,N,0,W01,X01,5
61,1985,152,1437,52,1272,45,N,0,Z08,Y02,5
